feature_id,B73_Control_Epibiota_1,B73_Control_Epibiota_2,B73_Control_Epibiota_3,B73_Control_Epibiota_4,B73_Mix_Epibiota_1,B73_Mix_Epibiota_2,B73_Mix_Epibiota_3,B73_K49_Epibiota_1,B73_K49_Epibiota_2,B73_K49_Epibiota_3,B73_Tox4_Epibiota_1,B73_Tox4_Epibiota_2,B73_Tox4_Epibiota_3,B73_Control_Endobiota_1,B73_Control_Endobiota_2,B73_Control_Endobiota_3,B73_Mix_Endobiota_1,B73_Mix_Endobiota_2,B73_Mix_Endobiota_3,B73_K49_Endobiota_1,B73_K49_Endobiota_2,B73_K49_Endobiota_3,B73_Tox4_Endobiota_1,B73_Tox4_Endobiota_2,B73_Tox4_Endobiota_3,CML322_Control_Epibiota_1,CML322_Control_Epibiota_2,CML322_Control_Epibiota_3,CML322_Control_Epibiota_4,CML322_Mix_Epibiota_1,CML322_Mix_Epibiota_2,CML322_Mix_Epibiota_3,CML322_K49_Epibiota_1,CML322_K49_Epibiota_2,CML322_K49_Epibiota_3,CML322_Tox4_Epibiota_1,CML322_Tox4_Epibiota_2,CML322_Tox4_Epibiota_3,CML322_Control_Endobiota_1,CML322_Control_Endobiota_2,CML322_Control_Endobiota_3,CML322_Mix_Endobiota_1,CML322_Mix_Endobiota_2,CML322_Mix_Endobiota_3,CML322_K49_Endobiota_1,CML322_K49_Endobiota_2,CML322_K49_Endobiota_3,CML322_Tox4_Endobiota_1,CML322_Tox4_Endobiota_2,CML322_Tox4_Endobiota_3,Kingdom,Phylum,Class,Order,Family,Genus,Species
178fc2e63535cb61cf58c2c7b94b6142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Hypocreales_fam_Incertae_sedis,Sarocladium,Sarocladium_zeae
33b5dabb3fb0a4d8f4124e2af98b9d03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,240,0,0,0,0,0,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Hypocreales_fam_Incertae_sedis,Sarocladium,Sarocladium_zeae
cc359c1b499ea069ff2bf454bb9c0e16,38687,2509,20380,555,167963,5869,35991,139873,16472,428,164,234,95716,1071,17660,328,111791,4031,37969,164745,8904,6948,313,1686,183837,66414,57596,97487,70311,94149,4259,9032,20948,62611,10488,44636,216,280,14647,97107,49774,69988,127,1400,4764,166,2759,792,35,27,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Hypocreales_fam_Incertae_sedis,Sarocladium,Sarocladium_zeae
8305874b1c88f0a58761a482f5285028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fungi,Ascomycota,Sordariomycetes,Togniniales,Togniniaceae,Phaeoacremonium,Phaeoacremonium_tardicrescens
67f41461cca430c76ded8f73ce9066bb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fungi,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified
0a6a593df054728fb0d24554e3028312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,Fungi,NA,NA,NA,NA,NA,NA
115f4acaa728266ab16b82d3da18b94b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Phaeosphaeriaceae,NA,NA
4f665562ccf90518ad3d5acf8b71d432,389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Phaeosphaeriaceae,unidentified,unidentified
1e14065493ee4b25ce774f11b75a31b5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Phaeosphaeriaceae,unidentified,unidentified
220bfc763fc9430b09a5fc5bd78f5949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Phaeosphaeriaceae,Leptospora,Leptospora_rubella
4def88672b29b3e496ae89c9d5338eab,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Bipolaris,Bipolaris_maydis
fe17d9a9cd5aa05c356433efb7f49cf7,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Exserohilum,Exserohilum_rostratum
7e0c3bc933a9cb3ef6f6fc9c6bf3a647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Bipolaris,Bipolaris_microstegii
779bf482469c4ad58bf81561d14aa571,16499,57,0,0,3,4,4,5,127,0,0,10,10,0,0,5,2,0,0,0,213,46,7,0,0,2408,537,16,40,9,8,192,22,4,11,512,10,13,6090,27,6,11,0,95,409,9,8,6,8,125,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Curvularia,Curvularia_lunata
ca4b311a4856fe5d623cc562a9a09897,1431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Curvularia,NA
c62e2df5641ddbf7ebc4c8c7ecad2aed,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Exserohilum,Exserohilum_turcicum
8c30004e8419b2e81ffcf44662ae2246,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Curvularia,NA
0c3ab11432ef38c28d460bb9b05d6f42,0,5,4,0,0,2,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Curvularia,Curvularia_verruculosa
af6fd48553fb267962eb8dda99f700f1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Curvularia,Curvularia_caricae-papayae
d0e6fb65c73f76dc8402dec90cf15f72,18269,13,7,8,3,7,9,10,37,5,8,14,28,8,7,5,0,0,0,5,6,6,5,6,3,2860,3,5,4,10,0,0,0,0,0,340,5,0,0,0,0,5,0,0,0,0,0,3,0,0,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria,NA
cc6872b89c673efa5e24e64f24574cc3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria,Alternaria_longissima
38c123803eaa991319cc33b54c04a51a,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria,Alternaria_longissima
4a9429c12d8d75867828b6942f383be0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fungi,Ascomycota,Dothideomycetes,Pleosporales,NA,NA,NA
4147d306d24d54de69b0fa4186769717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fungi,Ascomycota,Dothideomycetes,Pleosporales,NA,NA,NA
4ff9932623550075b3758f678b5daf3b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fungi,NA,NA,NA,NA,NA,NA
05bf9cff2d848c6179cf061f4a18eefe,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fungi,NA,NA,NA,NA,NA,NA
79d566c2d954d97ecee853ebf1ea6ca9,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fungi,NA,NA,NA,NA,NA,NA
3c642a2c17de1b46a81b35b0a7d80759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fungi,Ascomycota,NA,NA,NA,NA,NA
7500ea019b5c161801d8cb53d852c2b6,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Hypocreaceae,Trichoderma,NA
0921002c67fc437442b519a8cc5f9317,0,0,0,0,0,0,0,79,53,0,23523,7390,866,0,6,0,0,5,0,0,4,5,4944,12002,1193,0,0,0,0,2,0,0,0,2,0,0,0,0,0,7,665,2072,0,0,0,0,0,0,0,0,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Hypocreaceae,Trichoderma,NA
c24ade4b8a000e0a0a494551bb17531a,0,0,0,0,0,0,0,0,0,0,94,27,0,0,0,0,0,0,0,0,0,0,33,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Hypocreaceae,Trichoderma,NA
b062ab7f9a829e90987ad32fc365341f,0,0,0,0,0,0,0,0,0,0,29,24,0,0,0,0,0,0,0,0,0,0,5,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Hypocreaceae,Trichoderma,NA
5422efcf2dba36fcef4c6e9c9b36819b,0,0,0,0,0,0,0,0,0,0,58,11,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Hypocreaceae,Trichoderma,NA
94a0a9f1815a82f85bc51de875daae56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Dissoconiaceae,Dissoconium,Dissoconium_eucalypti
78d0aa913584fadd831181d91157d7a7,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Dissoconiaceae,Ramichloridium,NA
7a25294a216b32c954a97e42e2ad0d4a,2219,0,0,0,0,0,0,24,2,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Dissoconiaceae,Ramichloridium,Ramichloridium_apiculatum
2119b102a51bea10cfa81eff69e53071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Cladosporiaceae,Cladosporium,Cladosporium_sphaerospermum
9f83cabb1c12a3343b38bea681995004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Cladosporiaceae,Cladosporium,Cladosporium_sphaerospermum
59623756be3c2708e06c5452174d4059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Mycosphaerella,Mycosphaerella_pseudocryptica
7d082611d4c41305e8a1cafc307f59b9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Ramularia,NA
32503304f611ee33b7347bc11dad6e40,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fungi,NA,NA,NA,NA,NA,NA
