SampleID	CornVariety	TissueType	Timepoint	FungalStrain	TissueExtraction	Age	Batch
C49	CML322	Ovule	2	Control	Endobiota	Mature	2
C50	CML322	Ovule	2	Control	Endobiota	Mature	2
C51	CML322	Ovule	2	Control	Endobiota	Mature	2
C52	CML322	Ovule	2	Mix	Endobiota	Mature	2
C53	CML322	Ovule	2	Mix	Endobiota	Mature	2
C54	CML322	Ovule	2	Mix	Endobiota	Mature	2
C55	CML322	Ovule	2	K49	Endobiota	Mature	2
C56	CML322	Ovule	2	K49	Endobiota	Mature	2
C57	CML322	Ovule	2	K49	Endobiota	Mature	2
C58	CML322	Ovule	2	Tox4	Endobiota	Mature	2
C59	CML322	Ovule	2	Tox4	Endobiota	Mature	2
C60	CML322	Ovule	2	Tox4	Endobiota	Mature	2
C61	CML322	Husk	0	Control	Epibiota	Young	2
C62	CML322	Husk	0	Control	Epibiota	Young	2
C63	CML322	Husk	0	Control	Epibiota	Young	2
C70	CML322	Husk	0	Control	Endobiota	Young	2
C71	CML322	Husk	0	Control	Endobiota	Young	2
C72	CML322	Husk	0	Control	Endobiota	Young	2
C73	CML322	Silk	0	Control	Endobiota	Young	2
C74	CML322	Silk	0	Control	Endobiota	Young	2
C75	CML322	Silk	0	Control	Endobiota	Young	2
C77	CML322	Ovule	0	Control	Endobiota	Young	2
C78	CML322	Ovule	0	Control	Endobiota	Young	2
C79	CML322	Husk	0	Control	Epibiota	Young	2
C80	CML322	Husk	0	Control	Epibiota	Young	2
C81	CML322	Husk	0	Control	Epibiota	Young	2
C88	CML322	Husk	0	Control	Endobiota	Young	2
C89	CML322	Husk	0	Control	Endobiota	Young	2
C90	CML322	Husk	0	Control	Endobiota	Young	2
C91	CML322	Silk	0	Control	Endobiota	Young	2
C92	CML322	Silk	0	Control	Endobiota	Young	2
C93	CML322	Silk	0	Control	Endobiota	Young	2
C95	CML322	Ovule	0	Control	Endobiota	Young	2
C96	CML322	Ovule	0	Control	Endobiota	Young	2
C97	CML322	Husk	2	Control	Epibiota	Mature	2
C98	CML322	Silk	0	Control	Epibiota	Young	2
C99	CML322	Silk	2	Control	Epibiota	Mature	2
S4-373	B73	Silk	0	Control	Epibiota	Young	0
B8	B73	Silk	1	K49	Epibiota	Mature	1
B58	B73	Ovule	2	Tox4	Endobiota	Mature	2
B71	B73	Husk	0	Control	Endobiota	Young	2
B76	B73	Ovule	0	Control	Endobiota	Young	2
B94	B73	Ovule	0	Control	Endobiota	Young	2
B95	B73	Ovule	0	Control	Endobiota	Young	2
B96	B73	Ovule	0	Control	Endobiota	Young	2
C76	CML322	Ovule	0	Control	Endobiota	Young	2
C94	CML322	Ovule	0	Control	Endobiota	Young	2
